id,source_id,topic,region,fact_text,metric_value,metric_unit,metric_year
1,1,definition,Global,"Mixed farming exists in many forms shaped by external factors (weather, market prices, political stability, technological developments) and internal factors (soil characteristics, family composition, farmers' ingenuity).",,,
2,1,benefit,Global,"Farmers may choose mixed enterprises to save resources by interchanging them on-farm; this can enable wider crop rotations, reduce dependence on chemicals, align with nature-based preferences, and diversify risk.",,,
3,1,definition,Global,Even pastoralists can practice mixed farming because their livelihoods depend on managing different feed resources and animal species.,,,
4,1,practice,Global,"Mixed farming can include mixed cropping (e.g., multiple crops or varieties with different life cycles on the same field) to use space efficiently and spread risks.",,,
5,1,classification,Global,Three major mixed-farming categories are distinguished: on-farm vs between-farm mixing; mixing within crops and/or animal systems; and diversified vs integrated systems.,,,
6,1,classification,Global,"Modes of farming are described by land, labor and input availability: expansion agriculture (EXPAGR), low external input agriculture (LEIA), high external input agriculture (HEIA), and new conservation agriculture (NCA).",,,
7,1,classification,Global,On-farm mixing refers to mixing on the same farm; between-farm mixing refers to exchanging resources between different farms.,,,
8,1,system_type,Global,"In integrated crop-livestock systems, crops provide fodder (grass, legumes, leys, weeds, residues) while animals provide draught and manure and serve as a savings account.",,,
9,1,principle,Global,"In mixed systems, maximizing the combined yield of components can be more important than maximizing the yield of any single component.",,,
10,1,challenge,Global,"Mixed farming can be poverty-induced; resource-poor farmers may rely on labor-intensive techniques and, with low purchasing power, may overexploit the environment.",,,
11,2,practice,Global,"Livestock products in mixed systems largely come from animals fed local resources (pasture, crop residues, fodder trees/shrubs) and village-industry by-products (oil extraction, grain milling, cane crushing).",,,
12,2,benefit,Global,"Recycling these resources saves money and reduces waste within the farming system, can create employment, and can improve soil texture and fertility while incentivizing multipurpose animals.",,,
13,2,benefit,Global,Integrating crops and livestock intensifies organic matter and nutrient cycling; crop residues are the main on-farm source of organic matter and nutrients.,,,
14,2,benefit,Global,"Livestock act as capital assets for security and savings, provide cash income, and are part of nutrient flows; residue management is closely tied to animal feeding.",,,
15,2,benefit,Global,Integration adds value to crop residues (especially legumes) through animal products and income.,,,
16,2,challenge,Global,"Long-term maintenance requires external nutrient inputs; as feed demand grows, cropland per capita shrinks, and crop yields decline, integration faces new constraints.",,,
17,3,practice,Global,"In mixed systems, livestock can use products not exploited by humans, such as kitchen waste, roadside/wasteland grasses, and crop residues.",,,
18,3,benefit,Global,"Animals provide multiple outputs (meat, eggs, milk, fiber, social status, income) and dung/urine that fertilize gardens, fields, and fish ponds.",,,
19,3,context,Global,"Traditional animal-keeping systems adapt to changes such as population pressure, fertilizer use, and consumption patterns; knowledge exchange helps develop useful technologies.",,,
